execution_id,learning_rate,lr_decay_strategy,optimizer,momentum,wd,network,epochs,training_acc,val_acc
0,0.0001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.5169230769230769,0.547037037037037
1,0.0001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.9,0.0001,slowfast_8x8_resnet50_kinetics400,100,0.5692307692307692,0.4993827160493827
2,0.0001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.5,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.4984615384615384,0.5767901234567901
3,0.0001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.5,0.0001,slowfast_8x8_resnet50_kinetics400,100,0.6030769230769231,0.5211111111111111
4,0.0001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.9,1e-06,slowfast_4x16_resnet50_kinetics400,100,0.4707692307692308,0.5203703703703704
5,0.0001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.9,1e-06,slowfast_8x8_resnet50_kinetics400,100,0.5446153846153846,0.5288888888888889
6,0.0001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.5,1e-06,slowfast_4x16_resnet50_kinetics400,100,0.5107692307692308,0.5467901234567901
7,0.0001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.5,1e-06,slowfast_8x8_resnet50_kinetics400,100,0.5169230769230769,0.5037037037037037
8,0.0001,"[40, 80, 100, 300]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.563076923076923,0.5487654320987654
9,0.0001,"[40, 80, 100, 300]",sgd,0.9,0.0001,slowfast_8x8_resnet50_kinetics400,100,0.5661538461538461,0.5448148148148149
10,0.0001,"[40, 80, 100, 300]",sgd,0.5,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.5261538461538462,0.5174074074074074
11,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.556923076923077,0.5314814814814814
12,0.01,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.5076923076923077,0.5223456790123456
13,0.001,"[40, 80, 100, 300]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.6461538461538462,0.5646913580246914
14,0.01,"[40, 80, 100, 300]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.6738461538461539,0.5053086419753087
15,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.5,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.5169230769230769,0.5369135802469136
16,0.01,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.5,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.5292307692307693,0.5597530864197531
17,0.001,"[40, 80, 100, 300]",sgd,0.5,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.64,0.5416049382716049
18,0.01,"[40, 80, 100, 300]",sgd,0.5,0.0001,slowfast_4x16_resnet50_kinetics400,100,0.6276923076923077,0.51
19,0.0001,"[20, 40, 60, 80, 100, 120, 140, 300]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.5261538461538462,0.525761316872428
20,0.0003,"[20, 40, 60, 80, 100, 120, 140, 300]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.5876923076923077,0.5537448559670782
21,0.001,"[20, 40, 60, 80, 100, 120, 140, 300]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.6061538461538462,0.5212345679012346
22,0.003,"[20, 40, 60, 80, 100, 120, 140, 300]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.556923076923077,0.5247736625514403
23,0.0001,"[20, 40, 60, 80, 100, 120, 140, 300]",sgd,0.5,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.5292307692307693,0.5337448559670782
24,0.0003,"[20, 40, 60, 80, 100, 120, 140, 300]",sgd,0.5,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.5261538461538462,0.5449382716049382
25,0.001,"[20, 40, 60, 80, 100, 120, 140, 300]",sgd,0.5,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.5876923076923077,0.5497942386831276
26,0.003,"[20, 40, 60, 80, 100, 120, 140, 300]",sgd,0.5,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.5846153846153846,0.5609876543209876
27,0.0001,"[40, 80, 100, 300]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.5753846153846154,0.5518518518518518
28,0.0003,"[40, 80, 100, 300]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.6338461538461538,0.5550617283950617
29,0.001,"[40, 80, 100, 300]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.6707692307692308,0.5765432098765432
30,0.003,"[40, 80, 100, 300]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.563076923076923,0.511440329218107
31,0.0001,"[40, 80, 100, 300]",sgd,0.5,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.5538461538461539,0.5419753086419753
32,0.0003,"[40, 80, 100, 300]",sgd,0.5,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.5815384615384616,0.5411522633744856
33,0.001,"[40, 80, 100, 300]",sgd,0.5,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.5969230769230769,0.5546502057613169
34,0.003,"[40, 80, 100, 300]",sgd,0.5,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.7138461538461538,0.5328395061728395
35,0.0001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.5415384615384615,0.542962962962963
36,0.0003,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.5292307692307693,0.5650205761316872
37,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.5538461538461539,0.5517695473251029
38,0.003,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.9,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.5661538461538461,0.502880658436214
39,0.0001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.5,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.5046153846153846,0.4818106995884774
40,0.0003,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.5,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.5046153846153846,0.5506995884773662
41,0.001,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.5,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.5292307692307693,0.5762139917695474
42,0.003,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 300]",sgd,0.5,0.0001,slowfast_4x16_resnet50_kinetics400,150,0.5846153846153846,0.5587654320987654
